toidINS;sprincp;sprincp.raw;cconac;w;type;idINS
1972411277;40;40;4711x;6;alim;r200N2255400E3944800
1972411277;80;80;4711x;6;alim;r200N2255400E3944800
1972411276;239;239;4711x;6;alim;r200N2255200E3944800
1972411276;120;172;4711x;6;alim;r200N2255200E3944800
1972411276;50;50;4711x;6;alim;r200N2255200E3944800
1972311277;20;11;4711x;6;alim;r200N2255400E3944600
1972411275;95;95;4711x;6;alim;r200N2255000E3944800
1972211275;20;16;4711x;6;alim;r200N2255000E3944400
1972211276;600;2580;4711x;6;alim;r200N2255200E3944400
1972311270;105;105;4711x;6;alim;r200N2254000E3944600
1972311270;90;90;4711x;6;alim;r200N2254000E3944600
1972211270;40;40;4711x;6;alim;r200N2254000E3944400
1972111269;283;283;4711x;6;alim;r200N2253800E3944200
1972011269;175;175;4711x;6;alim;r200N2253800E3944000
1972211270;400;170;4711x;6;alim;r200N2254000E3944400
1972211270;287;287;4711x;6;alim;r200N2254000E3944400
1972211270;400;235;4711x;6;alim;r200N2254000E3944400
1972211271;35;35;4711x;6;alim;r200N2254200E3944400
1972611250;20;2;4711x;6;alim;r200N2250000E3945200
1972611250;20;9;4711x;6;alim;r200N2250000E3945200
1975211288;25;25;4711x;6;alim;r200N2257600E3950400
1974711290;26;26;4711x;6;alim;r200N2258000E3949400
1939211550;35;35;4711x;6;alim;r200N2310000E3878400
1929811565;115;115;4711x;6;alim;r200N2313000E3859600
1929811564;1773;1773;4711x;6;alim;r200N2312800E3859600
1929811564;400;139;4711x;6;alim;r200N2312800E3859600
1925111856;400;12;4711x;6;alim;r200N2371200E3850200
1925111856;400;400;4711x;6;alim;r200N2371200E3850200
1924911858;1420;1420;4711x;6;alim;r200N2371600E3849800
1924611859;120;200;4711x;6;alim;r200N2371800E3849200
1938811621;70;70;4711x;6;alim;r200N2324200E3877600
1920611728;120;223;4711x;6;alim;r200N2345600E3841200
1935911578;120;250;4711x;6;alim;r200N2315600E3871800
2031411370;2500;123;4711x;6;alim;r200N2274000E4062800
2017711336;70;70;4711x;6;alim;r200N2267200E4035400
2017711341;20;20;4711x;6;alim;r200N2268200E4035400
2017611341;26;26;4711x;6;alim;r200N2268200E4035200
2017611341;135;135;4711x;6;alim;r200N2268200E4035200
2016511379;400;1025;4711x;6;alim;r200N2275800E4033000
2017511375;120;98;4711x;6;alim;r200N2275000E4035000
2016711377;5436;5436;4711x;6;alim;r200N2275400E4033400
2016711377;2500;0;4711x;6;alim;r200N2275400E4033400
2017911379;120;268;4711x;6;alim;r200N2275800E4035800
2016511380;120;2219;4711x;6;alim;r200N2276000E4033000
2017511379;120;220;4711x;6;alim;r200N2275800E4035000
2016611380;120;326;4711x;6;alim;r200N2276000E4033200
2016711380;120;200;4711x;6;alim;r200N2276000E4033400
2017511382;73;73;4711x;6;alim;r200N2276400E4035000
2016511388;984;984;4711x;6;alim;r200N2277600E4033000
2008211374;120;35;4711x;6;alim;r200N2274800E4016400
2004111455;90;90;4711x;6;alim;r200N2291000E4008200
2003711456;2260;2260;4711x;6;alim;r200N2291200E4007400
2003711456;400;113;4711x;6;alim;r200N2291200E4007400
1994411194;100;100;4711x;6;alim;r200N2238800E3988800
1988811436;20;15;4711x;6;alim;r200N2287200E3977600
1988611436;400;916;4711x;6;alim;r200N2287200E3977200
1988611436;120;34;4711x;6;alim;r200N2287200E3977200
2001511261;400;20;4711x;6;alim;r200N2252200E4003000
2001011268;2500;3149;4711x;6;alim;r200N2253600E4002000
2001011267;120;317;4711x;6;alim;r200N2253400E4002000
2000911267;400;997;4711x;6;alim;r200N2253400E4001800
2001011267;863;863;4711x;6;alim;r200N2253400E4002000
2000911268;400;9;4711x;6;alim;r200N2253600E4001800
2026911275;70;70;4711x;6;alim;r200N2255000E4053800
2026111270;299;299;4711x;6;alim;r200N2254000E4052200
2025711307;120;42;4711x;6;alim;r200N2261400E4051400
1951811648;45;45;4711x;6;alim;r200N2329600E3903600
1952011646;2500;80;4711x;6;alim;r200N2329200E3904000
1951811647;400;130;4711x;6;alim;r200N2329400E3903600
1951911648;40;40;4711x;6;alim;r200N2329600E3903800
1952911651;50;50;4711x;6;alim;r200N2330200E3905800
1952611642;40;40;4711x;6;alim;r200N2328400E3905200
1951611644;42;42;4711x;6;alim;r200N2328800E3903200
1951811643;25;25;4711x;6;alim;r200N2328600E3903600
1951611644;120;120;4711x;6;alim;r200N2328800E3903200
1951711645;20;18;4711x;6;alim;r200N2329000E3903400
1952511650;40;40;4711x;6;alim;r200N2330000E3905000
1952311643;25;25;4711x;6;alim;r200N2328600E3904600
1951911643;88;88;4711x;6;alim;r200N2328600E3903800
1951911641;40;40;4711x;6;alim;r200N2328200E3903800
1951611643;57;57;4711x;6;alim;r200N2328600E3903200
1951611642;36;36;4711x;6;alim;r200N2328400E3903200
1951611643;30;30;4711x;6;alim;r200N2328600E3903200
1952111650;50;50;4711x;6;alim;r200N2330000E3904200
1951911649;20;15;4711x;6;alim;r200N2329800E3903800
1951611648;65;65;4711x;6;alim;r200N2329600E3903200
2023311797;40;40;4711x;6;alim;r200N2359400E4046600
2023311797;85;85;4711x;6;alim;r200N2359400E4046600
2000111693;400;1212;4711x;6;alim;r200N2338600E4000200
1999511527;120;120;4711x;6;alim;r200N2305400E3999000
1975011397;120;180;4711x;6;alim;r200N2279400E3950000
1975811389;2500;200;4711x;6;alim;r200N2277800E3951600
1975911400;55;55;4711x;6;alim;r200N2280000E3951800
1974711391;120;160;4711x;6;alim;r200N2278200E3949400
1976111400;20;19;4711x;6;alim;r200N2280000E3952200
1976311401;25;25;4711x;6;alim;r200N2280200E3952600
1977011393;2500;211;4711x;6;alim;r200N2278600E3954000
1976011397;59;59;4711x;6;alim;r200N2279400E3952000
1976111399;140;140;4711x;6;alim;r200N2279800E3952200
1974911403;120;0;4711x;6;alim;r200N2280600E3949800
1976411397;120;178;4711x;6;alim;r200N2279400E3952800
