IRIS;km_pa;f_i;co2_i;n;snv;ind;tx;prix;dens
131030113;6195.500803979299;1306.4847820419363;1683.196385308081;122;23248.03262686567;3350;0.04016438376016107;4258.410966981132;2.6772229140203616
131030114;6357.238881940853;1729.5760678652503;2310.601360761228;122;25737.679511809245;4424.5;0.020995681381459574;3682.5720212030424;3.5442132538222344
131030115;6893.6020728639;2027.186619431704;2930.651604628212;278;25086.526662176464;5196.5;0.021259769706975185;3503.8302590266876;1.8230095498486547
131040101;8477.962755896488;851.3329732147027;1527.9253488497857;47;27557.27746185853;2884;0.024707879215458695;6814.260741828865;4.52836687880161
131040102;7923.834074157062;754.990800676895;1244.8532740624678;22;27304.99859785784;2567.5;0.01590618811826383;6652.887977167321;8.579440916782898
131040103;8104.628380255861;797.9203203877228;1374.1393399465799;36;28218.100406804733;2704;0.021885945209520807;6225.630875804058;5.541113336025853
131050101;7895.9672596509645;1106.9774036706226;1830.2054258410383;284;23410.27755539671;2798;0.03044884646889212;3527.290804597701;0.9744519398509002
131050102;6816.7840482143965;1662.6619711900519;2337.880207244598;35;20581.56656092116;4255.5;0.011261691138156671;3134.6740591397847;11.876156937071798
131060101;5575.163354998421;1120.7394331142236;1188.2352098442732;60;22704.354883262087;3041;0.014179181285732367;3485.0385938097056;4.669747637975932
131060102;4716.799050742316;1041.0500505526616;918.4084662104768;13;22169.060408163263;2817.5;0.008545965853305137;3362.4855227882035;20.020193279858876
131060103;5621.700875173809;1238.7635524761338;1334.2982811199647;64;24109.74372113809;3356.5;0.019348326955486828;4000.566214470284;4.838920126859898
131060104;4952.19971636361;757.7605940624525;634.6043985496334;9;16474.00190383207;2048.5;0.023020598785772783;3936.072874493927;21.048905390623677
131070101;5601.37695282831;1288.4129246301002;1521.0663432231977;47;26507.14451765501;2959.5;0.040602644916387876;4531.06463878327;6.853260237394149
131070102;7574.370799571018;1231.190142378027;1978.0760986340263;164;29147.670908460474;2884;0.039641667122437774;4843.272915707047;1.8768142414299194
131090000;6654.681702593996;956.2017471191651;1341.1940974156366;152;31147.874915635544;2222.5;0.025032469850631456;6137.385388661602;1.572700241972311
131100101;8276.589391405445;932.215206138078;1567.78783064711;10;19560.825569620254;2370;0.016234260236322573;2983.7822671156005;23.30538015345195
131100102;10940.795135726432;1186.1973845402094;2732.6106468346775;376;27213.798295992427;3169;-0.003499803349352737;4641.906158357771;0.788695069508118
131100103;8206.38076157127;1095.9621502968316;1886.0874610043545;24;24688.26370691211;2770.5;0.0034594852785174712;3902.4245002126754;11.41627239892533
131100104;8649.483259676761;962.0283544773814;1749.3923746623877;52;25218.74396551724;2436;0.021769446240841317;4121.814403093282;4.625136319602795
131110000;8506.053516966685;358.4186664445973;648.6073643193006;90;27453.848017148983;933;0.04685757707924432;7576.860966542751;0.9956074067905482
131120101;7931.585353917837;712.9913580403369;1206.7348095653363;31;29219.523585636787;1935.5;0.029820605883951634;4199.626633478531;5.7499303067769105
131120102;7150.575666308152;1337.2703623334476;2016.412127133093;46;27316.07348568282;3632;0.02372808222097733;4589.671043034282;7.267773708333954
131120103;8228.77141308656;1321.7129506632175;2310.221882177778;177;27884.486907696522;3651;0.022290563146085685;4358.396844290658;1.8668262015017196
131130101;6182.7240215951415;1029.4070816087815;1337.5126403540999;123;27875.986533383628;2651;0.03334376657486926;4759.796080261316;2.092290816278011
131130102;5994.467667150081;1143.7316752128613;1437.761709723181;80;30584.30669434354;2890.5;0.017996251387344397;5399.535928143712;3.5741614850401917
131130103;5624.916779275049;1221.9489917385442;1428.2546131442696;18;26252.40612677204;3068.5;0.02525333920142936;4940.469713385827;16.971513774146448
131140000;8537.517829301765;1972.906912644241;3592.0928956459816;310;31245.665884585527;5796.5;0.04008625695020829;4904.510883127686;1.5910539618098718
131150000;9200.607582699022;914.0326074026692;1802.4549568573154;75;24362.82010230179;1955;0.033804065688995744;4092.7394957983192;3.0467753580088974
131170101;5839.247483871191;568.4579716735059;697.6606447361053;20;26795.915015576324;1605;0.023016763509165816;4370.558506819813;7.105724645918824
131170102;4481.654545704156;666.7445755080876;592.8407437952856;9;17398.787079692876;1888.5;-0.024547246076549345;2948.0676328502414;18.52068265300243
131170103;4262.281764230935;716.7877084800408;586.8312158216994;3;15488.173596059114;2030;0.006533104673626333;2583.132530120482;59.7323090400034
