fromidINS	km_i	co2_i	f_i	km_pa	co2_pa	com
r200N2292800E3925200	302722.5379374355	62.63062811240948	68.49518694246734	4419.617661481935	0.9143799865093615	13103
r200N2293800E3925200	28502.39801190655	5.962281815791396	3.1206698809165543	9133.422982739614	1.910577550112493	13103
r200N2304200E3925600	25677.195996300936	5.344714834696516	2.7702601722005906	9268.875268095824	1.9293187290964355	13105
r200N2306800E3925600	7675.989817286121	1.6007912935343542	0.7915029056275116	9697.993226191025	2.0224705205159426	13105
r200N2307000E3925600	4006.0446103549352	0.8356512835135025	0.39575144992306605	10122.62775318627	2.1115558355527257	13105
r200N2293800E3926400	79919.46829048225	16.994901151008047	10.953464556993133	7296.273053575404	1.5515548585180583	13103
r200N2267800E3927200	131475.02880024406	27.80255424865593	16.816464006084097	7818.232700565183	1.6532937149330045	13026
r200N2277800E3927200	187667.45985544348	39.84172441453025	23.28242187076669	8060.478454394727	1.7112362552177336	13014
r200N2266200E3928200	95180.54934744303	19.919808880350956	18.186860053961958	5233.4789548627	1.0952857624266747	13026
r200N2277400E3928200	144732.20275320974	30.556959024428124	19.527192435131987	7411.828568494951	1.5648413936584216	13014
r200N2304000E3928600	40583.932327669856	8.40449666153993	4.7431533858298565	8556.318766522314	1.7719217528676843	13053
r200N2265600E3928800	232643.6666652963	48.990864078664885	38.46416379581464	6048.322482721194	1.273675526620851	13026
r200N2304600E3929000	4337.417308247614	0.898178187691056	0.3794522707881857	11430.732247926922	2.367038641843913	13053
r200N2304800E3929000	16148.621582117374	3.3380550463241647	1.5178090875173018	10639.428710057247	2.199258835499701	13053
r200N2279400E3929400	1582.7617580290078	0.33378632544534353	0.14668864582584226	10789.940483247487	2.2754748574176293	13014
r200N2265200E3929800	5118.378390409195	1.0916755207040822	0.3984949606473921	12844.273819909577	2.7394964265810384	13026
r200N2280000E3930200	9033.36443140118	1.9031391342140709	1.032682930616378	8747.47142959885	1.8429075157445889	13014
r200N2293800E3930600	30144.148937764992	6.244389188043776	3.0857140559058447	9768.93788329841	2.0236447949843064	13069
r200N2299200E3930600	33337.06275123166	7.213244242788418	2.8039366601762783	11889.377968022936	2.572541792843115	13115
r200N2301000E3930600	228334.84891551262	48.2101501225723	30.928101127027503	7382.76326689759	1.5587814435992753	13003
r200N2280600E3931400	29734.5984599112	6.338364381766776	2.8633623469004705	10384.504249732236	2.213608902354926	13014
r200N2282400E3931400	16158.448701370207	3.285241668956661	1.2907848459078073	12518.31298809988	2.5451504790840294	13037
r200N2282800E3931400	59971.49969735975	12.515306401426368	9.450651174965984	6345.753174788573	1.3242797950873915	13037
r200N2266200E3932200	23719.254065933303	4.979770497371544	2.464621220104979	9623.894281378864	2.0205013479350935	13043
r200N2266400E3932600	5618.891655958897	1.1637215370593548	0.5252471404818073	10697.61493761719	2.2155694859983	13043
r200N2267200E3932600	34876.9315154155	7.409260505236882	3.8384824037132064	9086.125152397948	1.9302577753305412	13054
r200N2295000E3933600	30231.803035899964	6.218143924647934	2.430630765311744	12437.842665100367	2.558242911012614	13050
r200N2299000E3933600	749546.6955729673	161.27062071506217	83.33492333725042	8994.38873351579	1.9352105246729707	13115
r200N2276000E3934000	33902.3361906304	7.148463418112689	3.0687745406187465	11047.516114948863	2.329419552819729	13081
r200N2304000E3934400	9323.063646622582	1.901711324015939	0.7589045442971831	12284.896324157098	2.5058636666579748	13053
r200N2263200E3934600	263344.40128490725	55.857371124569205	39.13572277735172	6729.003135654559	1.4272732726146173	13088
r200N2265600E3934600	255423.9947777512	53.77464929312356	39.79473561646454	6418.537296980381	1.351300579337811	13043
r200N2280600E3934800	61001.40970639715	13.083186917980152	5.90413647339991	10331.97826324454	2.215935721832353	13112
r200N2296600E3935200	20417.84335832642	4.1091519350297006	1.6239055200438584	12573.295124814265	2.530413182485346	13050
r200N2296800E3935200	34845.00056342058	7.105647035869419	3.2478110048702353	10728.764854595594	2.18782651614093	13050
r200N2263200E3935600	40489.53094339679	8.708660923449552	4.110445158685645	9850.400474955786	2.118666126720501	13088
r200N2281000E3935800	247174.33525790158	52.611675977764605	37.63887006050818	6566.99669412351	1.3978016846198136	13112
r200N2303800E3936200	10640.429605925168	2.1359332995098987	0.772972437191988	13765.600290456849	2.7632722678562773	13024
r200N2304000E3936200	9538.608711438825	1.938482344141096	0.7589045459910272	12568.917608712813	2.554316421454162	13053
r200N2279800E3936800	64456.8244276355	13.759463929684877	7.74917913226856	8317.890621372933	1.7756027696390102	13112
r200N2281200E3936800	256086.79235028525	54.11051946921639	33.210767955420316	7710.956660021751	1.62930648101394	13112
r200N2281600E3936800	11277.696341551218	2.4096933105799496	0.8473134686937658	13309.945797199618	2.8439218773363506	13112
r200N2292800E3937400	54256.90905950366	11.157323672167443	5.683669296163576	9546.105910160284	1.9630494124101365	13050
r200N2269600E3938000	505678.3845276018	104.38670501531413	136.41919736461597	3706.7978282854438	0.7651907285183138	13117
r200N2270000E3938000	149961.79809911794	31.62740040257551	29.49782880189054	5083.824952211627	1.072194181306947	13117
r200N2303800E3939000	17238.604727571557	3.3463242162774787	1.198163968047616	14387.517224092055	2.7928766892650314	13084
r200N2263600E3939200	13271.244464816491	2.6667426776317193	1.633778961185275	8123.035477937884	1.6322542651039214	13216
r200N2290400E3939600	99704.53797941147	20.51048542438117	9.590644839868617	10396.020251415894	2.13859294831964	13091
r200N2290600E3939600	66899.1801339954	13.58871981824483	5.7544191318830364	11625.705149514157	2.3614407478514954	13091
r200N2293400E3939600	72161.39207254344	14.970224730893555	9.128270908823799	7905.264073921051	1.6399847112800585	13050
r200N2290400E3940400	67971.41078815649	14.6389564396797	6.042144807896101	11249.550109975668	2.4228079440514176	13091
r200N2264800E3941000	5826.75453006429	1.184013040705398	0.3646698851118834	15978.162080141601	3.2468078364686845	13071
r200N2265400E3941000	91641.87509347971	19.339369576397253	10.864647485352776	8434.868707615882	1.7800273411971914	13071
r200N2265800E3941000	16718.367561324998	3.388986599671346	1.188320819003577	14068.900665515204	2.8519121650271657	13071
r200N2295200E3942000	4276.355865710627	0.9029705920172849	0.5757618843872871	7427.299343132845	1.568305607756939	13082
r200N2270200E3943200	24703.044748405784	5.2043124559220795	2.9805378557872286	8288.116421819826	1.7460984250936484	13019
r200N2272800E3943200	61896.52456126221	12.995071784654233	9.699369967652867	6381.49949612041	1.3397851435704011	13019
r200N2273600E3943200	55167.56981226857	11.784325836703674	6.87039009573118	8029.757996790629	1.715233876461498	13019
r200N2278000E3943200	18652.174610197668	3.6581736955999276	2.124271525714937	8780.503991324818	1.7220838538372565	13001
r200N2273600E3943800	209968.59488638176	44.6216342745914	35.96827840173282	5837.604806691728	1.2405829874927152	13019
r200N2283600E3944000	34825.80455268503	7.439520083618555	4.186842424518449	8317.916229362401	1.7768808398549207	13032
r200N2285400E3944000	67970.97293301261	14.491583561290856	10.10932960384174	6723.588565871108	1.4334861092850089	13032
r200N2285600E3944000	66791.4768438652	14.279282183482543	8.252515208467758	8093.4691008302125	1.7302945614484695	13032
r200N2286000E3944400	21871.12777008609	4.687974738557555	2.3704802198083885	9226.454448902334	1.9776476932325955	13032
r200N2286400E3944400	26369.639527795574	5.519365443440778	2.662717108329955	9903.282419789048	2.072832080499344	13032
r200N2255000E3944800	475833.50694085483	41.412592426545665	316.44698753131127	1503.6752621756996	0.13086739346017012	13202
