IRIS	km_pa	f_i	co2_i	n	snv	ind	tx	prix	shape	dens
130050501	3507.79290996662	791.556688629672	466.22024216322683	7	18761.163601255128	2071.5	0.0059878326928954895	2530.46875	autre	28.269881736773996
130050502	3437.1531180290212	792.7090035957763	441.9461701100716	8	17383.920794448433	2089.5	-8.268068271011231e-5	2122.6666666666665	autre	24.77215636236801
130050601	5625.393727544913	1240.8393569900359	1353.3030534477405	94	27236.183019450447	3239	0.012244067305822393	6035.748251748252	autre	3.30010467284584
130050602	4170.775201892076	929.8053463763118	702.7148781193662	23	25718.29948570253	2430.5	0.026981041023704355	4119.567066521265	autre	10.106579851916432
130050603	3920.2481220047057	861.3394682445448	499.93766907776717	2	14797.659951828333	2283.5	NA	NA	autre	107.6674335305681
130050701	6831.742574299262	1059.1347168573147	1423.925884340165	112	27828.877039985528	2763.5	0.014855843579819838	3876.0290556900727	autre	2.3641399929850775
130050702	7425.970773584163	745.7686031768689	1085.234933579586	144	28977.916979193422	1946.5	-0.0014004541420887806	8065.068493150685	autre	1.294737158293175
130050703	4183.78772372854	515.2502790929029	382.1794172613343	26	22136.894950239588	1356.5	0.013557138144529857	3308.736263736264	autre	4.954329606662529
130050704	6846.2437648256755	70.20021277156647	89.14216481655876	23	23349.411989100816	183.5	NA	3682.836084033613	autre	0.7630457909952877
130050705	6385.320753118916	868.0785383199851	1067.918169995528	132	25124.508160564623	2267	0.024134252855781968	5405.604719764012	autre	1.6440881407575476
130050706	6448.934152633942	231.89968402156666	286.52943521669545	27	22839.411019736843	608	0.028085316212549616	4821.83908045977	autre	2.1472192964959875
130070101	6205.273302911192	1048.509170339256	1322.630517370119	7	19768.857955010222	2445	0.02144431251851686	2812.98569023569	autre	37.44675608354485
130070102	8505.75196661067	1520.9034007591497	2734.5964699740543	175	27125.179150688822	3520.5	0.02036415664898583	4351.230659025788	autre	2.1727191439416425
130070103	8286.508567207646	1402.2505315024723	2448.4719194128475	177	26964.601448828605	3244	0.01752268452697936	5024.6167718665465	autre	1.9805798467549043
130070104	7551.675088758328	1431.904246600963	2278.912927535816	111	25589.01513595166	3310	0.009403547696025472	5056.025401069519	autre	3.2250095644165833
130080000	9554.084820075796	197.28919910423636	404.07511030336656	33	28635.20302222222	562.5	0.04384419197681266	3968.8518957345973	autre	1.4946151447290634
130090000	8176.843319173165	403.22040514074587	693.6181040284238	53	27906.892260816578	820.5	0.024401840208484016	4572.248062015504	autre	1.9019830431167257
130120000	8030.628708927224	175.33749223860465	299.4112284167519	67	32361.846251319956	473.5	0.04013302706580735	6500	autre	0.6542443740246442
