idINS	ind	co2_pi
r200N2268000E3900000	79	0.4528858909500034
r200N2268200E3900000	10	0.4034962976409884
r200N2266600E3900200	2	0.44173028778957457
r200N2266800E3900200	4	0.44173038859830477
r200N2267000E3900200	14	0.4305099403129812
r200N2267200E3900200	21	0.4305099403129813
r200N2266600E3900400	10	0.4513504287965903
r200N2266600E3900600	3.0000000000000004	0.4385615253883754
r200N2266600E3900800	9	0.4515624279078117
r200N2266400E3901200	7	0.4404268507383556
r200N2266400E3901800	4	0.44173038859830477
r200N2266800E3902000	3.0000000000000004	0.4586105940571055
r200N2267000E3902000	6.000000000000001	0.48812096255145054
r200N2267600E3902600	16	0.49059566512059294
r200N2267800E3902600	3	0.4928534019831113
r200N2267200E3902800	2.0000000000000004	0.48273600104036507
r200N2267400E3902800	29	0.5063005164563598
r200N2267600E3902800	35.5	0.48429314557739356
r200N2267800E3903000	12	0.4565128573809807
r200N2268000E3903000	11	0.4570197092527285
r200N2268200E3903000	1	0.4348778854785501
r200N2265200E3903200	5	0.4569439591686191
r200N2265800E3903200	1	0.46934977694199936
r200N2264400E3904600	1.0000000000000002	0.46436990892576946
r200N2265000E3904800	1.0000000000000002	0.46436990892576946
r200N2277600E3905200	3	0.4615085356151491
r200N2276800E3905400	1	0.4819572054294498
r200N2278600E3905600	4	0.45892084244532533
r200N2276200E3905800	2	0.4666617779353015
r200N2278200E3906000	1	0.4819572054294498
r200N2279000E3906600	4	0.45892084244532533
r200N2276800E3907000	1	0.4819572054294498
r200N2288600E3907000	9	0.43965610628082824
r200N2287400E3908200	2	0.44007652904509065
r200N2288000E3908200	3	0.4960664404668484
r200N2288200E3908400	8	0.4774257986007882
r200N2287200E3908600	8	0.4176634129944057
r200N2290400E3908600	5	0.4400217571607482
r200N2290600E3908600	2	0.43329562398691024
r200N2286600E3908800	5.000000000000001	0.4222776974765682
r200N2289000E3908800	4	0.4774257986007882
r200N2289400E3909000	1.9999999999999998	0.48968779009353147
r200N2289800E3909000	1.9999999999999998	0.48968779009353147
r200N2290200E3909000	1.0000000000000002	0.46408955355785536
r200N2275200E3909200	43	0.4914421619628324
r200N2275400E3909200	28	0.3982485059928856
r200N2288400E3909200	4	0.4774257986007882
r200N2274400E3909400	4	0.39928073577731266
r200N2274800E3909400	9	0.34450846555914494
r200N2275000E3909400	56	0.3846049173830038
r200N2275200E3909400	111	0.45912444762144883
r200N2275400E3909400	66	0.45917167522850755
r200N2288600E3909400	4	0.4774257986007882
r200N2289600E3909400	1.9999999999999998	0.48968779009353147
r200N2290400E3909400	1.0000000000000002	0.46408955355785536
r200N2274400E3909600	2	0.35746544481970244
r200N2274600E3909600	8	0.34029327429548084
r200N2274800E3909600	193.99999999999997	0.34965095901122406
r200N2275000E3909600	221.99999999999997	0.3988000027522101
r200N2275200E3909600	156.5	0.40419053796549115
r200N2275400E3909600	66	0.5021688052108787
r200N2287800E3909600	3.9999999999999996	0.42016729327008984
r200N2289400E3909600	1.9999999999999998	0.48968779009353147
r200N2274000E3909800	8	0.34029327429548084
r200N2274200E3909800	15	0.3431866388508175
r200N2274400E3909800	3.0000000000000004	0.33767026612896195
r200N2274800E3909800	78	0.369599119151065
r200N2275000E3909800	122.49999999999999	0.35294448493880154
r200N2275200E3909800	136.5	0.4533254313871442
r200N2275400E3909800	149	0.35348621588270235
r200N2275600E3909800	47	0.39984178051100666
r200N2284400E3909800	9	0.4213835452722912
r200N2289400E3909800	1.9999999999999998	0.48968779009353147
r200N2289800E3909800	7	0.4781106121136106
r200N2290000E3909800	1.0000000000000002	0.46408955355785536
r200N2290400E3909800	3	0.444164533265983
r200N2274200E3910000	37	0.36019103159860244
r200N2274400E3910000	61.49999999999999	0.3947357645017727
r200N2274600E3910000	36	0.3780333781022798
r200N2274800E3910000	88	0.41404566884468424
r200N2275000E3910000	128	0.3769186126748495
r200N2275200E3910000	109	0.47821503008101574
r200N2275400E3910000	138.5	0.4632962319311596
r200N2275600E3910000	64.5	0.332295021584252
r200N2275800E3910000	18.5	0.3319193020641575
r200N2289400E3910000	2.0000000000000004	0.44528196586059426
r200N2289600E3910000	2.0000000000000004	0.44528196586059426
r200N2289800E3910000	1	0.4406540994393985
r200N2290000E3910000	16	0.4379234446766525
r200N2290200E3910000	4	0.44311308013882067
r200N2290400E3910000	15	0.43326598425088414
r200N2290600E3910000	14	0.4361661987621046
r200N2273600E3910200	2.0000000000000004	0.4007320922184411
r200N2274000E3910200	10	0.4041984245765862
r200N2274200E3910200	130.99999999999997	0.34517583371470933
r200N2274400E3910200	108	0.43229567859284496
r200N2274600E3910200	93.5	0.33121384620394756
r200N2274800E3910200	100.99999999999999	0.40124619371527137
r200N2275000E3910200	88.99999999999999	0.3384410557380971
r200N2275200E3910200	91	0.41722593816691905
r200N2275400E3910200	75.49999999999999	0.507804697128281
r200N2275600E3910200	195	0.3783062605201236
r200N2275800E3910200	114.99999999999999	0.3679718612743114
r200N2289000E3910200	3	0.44396544050035114
