COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;354;Saint-Malo;CHAR;4
CODGEO;Code géographique;Code géographique;361;Le Blanc;CHAR;4
CODGEO;Code géographique;Code géographique;362;Châteauroux;CHAR;4
CODGEO;Code géographique;Code géographique;363;La Châtre;CHAR;4
CODGEO;Code géographique;Code géographique;364;Issoudun;CHAR;4
CODGEO;Code géographique;Code géographique;371;Chinon;CHAR;4
CODGEO;Code géographique;Code géographique;372;Tours;CHAR;4
CODGEO;Code géographique;Code géographique;373;Loches;CHAR;4
CODGEO;Code géographique;Code géographique;381;Grenoble;CHAR;4
CODGEO;Code géographique;Code géographique;382;La Tour-du-Pin;CHAR;4
CODGEO;Code géographique;Code géographique;383;Vienne;CHAR;4
CODGEO;Code géographique;Code géographique;391;Dole;CHAR;4
CODGEO;Code géographique;Code géographique;392;Lons-le-Saunier;CHAR;4
CODGEO;Code géographique;Code géographique;393;Saint-Claude;CHAR;4
CODGEO;Code géographique;Code géographique;401;Dax;CHAR;4
CODGEO;Code géographique;Code géographique;402;Mont-de-Marsan;CHAR;4
CODGEO;Code géographique;Code géographique;411;Blois;CHAR;4
CODGEO;Code géographique;Code géographique;412;Vendôme;CHAR;4
CODGEO;Code géographique;Code géographique;413;Romorantin-Lanthenay;CHAR;4
CODGEO;Code géographique;Code géographique;421;Montbrison;CHAR;4
CODGEO;Code géographique;Code géographique;422;Roanne;CHAR;4
CODGEO;Code géographique;Code géographique;423;Saint-Étienne;CHAR;4
CODGEO;Code géographique;Code géographique;431;Brioude;CHAR;4
CODGEO;Code géographique;Code géographique;432;Le Puy-en-Velay;CHAR;4
CODGEO;Code géographique;Code géographique;433;Yssingeaux;CHAR;4
CODGEO;Code géographique;Code géographique;442;Nantes;CHAR;4
CODGEO;Code géographique;Code géographique;443;Saint-Nazaire;CHAR;4
CODGEO;Code géographique;Code géographique;445;Châteaubriant-Ancenis;CHAR;4
CODGEO;Code géographique;Code géographique;451;Montargis;CHAR;4
CODGEO;Code géographique;Code géographique;452;Orléans;CHAR;4
CODGEO;Code géographique;Code géographique;453;Pithiviers;CHAR;4
CODGEO;Code géographique;Code géographique;461;Cahors;CHAR;4
CODGEO;Code géographique;Code géographique;462;Figeac;CHAR;4
CODGEO;Code géographique;Code géographique;463;Gourdon;CHAR;4
CODGEO;Code géographique;Code géographique;471;Agen;CHAR;4
CODGEO;Code géographique;Code géographique;472;Marmande;CHAR;4
CODGEO;Code géographique;Code géographique;473;Villeneuve-sur-Lot;CHAR;4
CODGEO;Code géographique;Code géographique;474;Nérac;CHAR;4
CODGEO;Code géographique;Code géographique;481;Florac;CHAR;4
CODGEO;Code géographique;Code géographique;482;Mende;CHAR;4
CODGEO;Code géographique;Code géographique;491;Angers;CHAR;4
CODGEO;Code géographique;Code géographique;492;Cholet;CHAR;4
CODGEO;Code géographique;Code géographique;493;Saumur;CHAR;4
CODGEO;Code géographique;Code géographique;494;Segré;CHAR;4
CODGEO;Code géographique;Code géographique;501;Avranches;CHAR;4
CODGEO;Code géographique;Code géographique;502;Cherbourg;CHAR;4
CODGEO;Code géographique;Code géographique;503;Coutances;CHAR;4
CODGEO;Code géographique;Code géographique;504;Saint-Lô;CHAR;4
CODGEO;Code géographique;Code géographique;511;Châlons-en-Champagne;CHAR;4
CODGEO;Code géographique;Code géographique;512;Épernay;CHAR;4
CODGEO;Code géographique;Code géographique;513;Reims;CHAR;4
CODGEO;Code géographique;Code géographique;514;Vitry-le-François;CHAR;4
CODGEO;Code géographique;Code géographique;521;Chaumont;CHAR;4
CODGEO;Code géographique;Code géographique;522;Langres;CHAR;4
CODGEO;Code géographique;Code géographique;523;Saint-Dizier;CHAR;4
CODGEO;Code géographique;Code géographique;531;Château-Gontier;CHAR;4
CODGEO;Code géographique;Code géographique;532;Laval;CHAR;4
CODGEO;Code géographique;Code géographique;533;Mayenne;CHAR;4
CODGEO;Code géographique;Code géographique;541;Briey;CHAR;4
CODGEO;Code géographique;Code géographique;542;Lunéville;CHAR;4
CODGEO;Code géographique;Code géographique;543;Nancy;CHAR;4
CODGEO;Code géographique;Code géographique;544;Toul;CHAR;4
CODGEO;Code géographique;Code géographique;551;Bar-le-Duc;CHAR;4
CODGEO;Code géographique;Code géographique;552;Commercy;CHAR;4
CODGEO;Code géographique;Code géographique;553;Verdun;CHAR;4
CODGEO;Code géographique;Code géographique;561;Lorient;CHAR;4
CODGEO;Code géographique;Code géographique;562;Pontivy;CHAR;4
CODGEO;Code géographique;Code géographique;563;Vannes;CHAR;4
CODGEO;Code géographique;Code géographique;573;Forbach-Boulay-Moselle;CHAR;4
CODGEO;Code géographique;Code géographique;575;Sarrebourg-Château-Salins;CHAR;4
CODGEO;Code géographique;Code géographique;576;Sarreguemines;CHAR;4
CODGEO;Code géographique;Code géographique;577;Thionville;CHAR;4
CODGEO;Code géographique;Code géographique;579;Metz;CHAR;4
CODGEO;Code géographique;Code géographique;581;Château-Chinon (Ville);CHAR;4
CODGEO;Code géographique;Code géographique;582;Clamecy;CHAR;4
CODGEO;Code géographique;Code géographique;583;Nevers;CHAR;4
CODGEO;Code géographique;Code géographique;584;Cosne-Cours-sur-Loire;CHAR;4
CODGEO;Code géographique;Code géographique;591;Avesnes-sur-Helpe;CHAR;4
CODGEO;Code géographique;Code géographique;592;Cambrai;CHAR;4
CODGEO;Code géographique;Code géographique;593;Douai;CHAR;4
CODGEO;Code géographique;Code géographique;594;Dunkerque;CHAR;4
CODGEO;Code géographique;Code géographique;595;Lille;CHAR;4
CODGEO;Code géographique;Code géographique;596;Valenciennes;CHAR;4
CODGEO;Code géographique;Code géographique;601;Beauvais;CHAR;4
CODGEO;Code géographique;Code géographique;602;Clermont;CHAR;4
CODGEO;Code géographique;Code géographique;603;Compiègne;CHAR;4
CODGEO;Code géographique;Code géographique;604;Senlis;CHAR;4
CODGEO;Code géographique;Code géographique;611;Alençon;CHAR;4
CODGEO;Code géographique;Code géographique;612;Argentan;CHAR;4
CODGEO;Code géographique;Code géographique;613;Mortagne-au-Perche;CHAR;4
CODGEO;Code géographique;Code géographique;621;Arras;CHAR;4
CODGEO;Code géographique;Code géographique;622;Béthune;CHAR;4
CODGEO;Code géographique;Code géographique;623;Boulogne-sur-Mer;CHAR;4
CODGEO;Code géographique;Code géographique;624;Montreuil;CHAR;4
CODGEO;Code géographique;Code géographique;625;Saint-Omer;CHAR;4
CODGEO;Code géographique;Code géographique;626;Calais;CHAR;4
CODGEO;Code géographique;Code géographique;627;Lens;CHAR;4
CODGEO;Code géographique;Code géographique;631;Ambert;CHAR;4
CODGEO;Code géographique;Code géographique;632;Clermont-Ferrand;CHAR;4
CODGEO;Code géographique;Code géographique;633;Issoire;CHAR;4
CODGEO;Code géographique;Code géographique;634;Riom;CHAR;4
CODGEO;Code géographique;Code géographique;635;Thiers;CHAR;4
CODGEO;Code géographique;Code géographique;641;Bayonne;CHAR;4
CODGEO;Code géographique;Code géographique;642;Oloron-Sainte-Marie;CHAR;4
CODGEO;Code géographique;Code géographique;643;Pau;CHAR;4
CODGEO;Code géographique;Code géographique;651;Argelès-Gazost;CHAR;4
CODGEO;Code géographique;Code géographique;652;Bagnères-de-Bigorre;CHAR;4
CODGEO;Code géographique;Code géographique;653;Tarbes;CHAR;4
CODGEO;Code géographique;Code géographique;661;Céret;CHAR;4
CODGEO;Code géographique;Code géographique;662;Perpignan;CHAR;4
CODGEO;Code géographique;Code géographique;663;Prades;CHAR;4
CODGEO;Code géographique;Code géographique;672;Haguenau-Wissembourg;CHAR;4
CODGEO;Code géographique;Code géographique;673;Molsheim;CHAR;4
CODGEO;Code géographique;Code géographique;674;Saverne;CHAR;4
CODGEO;Code géographique;Code géographique;675;Sélestat-Erstein;CHAR;4
