CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
74210;4098;9131;24010;60.9;7.2;;;;;;;5;12.7;74.1;64.8;2.6;6.7;22.5;20.2;2.7;1.5;0.7;0.5;-19.5;14470;40080;2.8
74301;6042;12721;23170;59.8;11.7;;13.3;13.2;13.3;8.4;;8.9;14.9;75.7;61.7;3.1;10.9;23.9;19.2;2.2;1.1;0.6;0.5;-21;12210;45870;3.8
74302;7002;16405;22760;56.1;9.5;;9.5;10.7;9.7;7.9;;5;18.9;79.3;73.5;2.8;3;24.5;7.6;4.6;2.4;1.3;0.9;-16;13210;36260;2.7
74303;7652;19976;30980;65.6;5;;;;;;;5;8.3;88.7;81.6;2.5;4.6;15.1;13.2;1.6;1;0.3;0.3;-18.6;17360;62130;3.6
74501;34168;75876;26440;59.8;10.1;11.9;10.4;11.8;9.7;8.7;7.6;5;18.9;83.7;76.5;3.3;3.9;22.9;10.2;2.7;1.2;0.9;0.6;-19.5;12980;53590;4.1
74502;36408;88839;25030;57.6;9.6;12.7;10.3;10.2;8.4;8.7;7.7;5;18.7;85.3;78.7;3.1;3.5;19.3;9.1;3.2;1.6;0.9;0.7;-16.9;13260;48900;3.7
74601;78805;171277;25790;61.9;8.5;11.7;10.2;9.6;8.2;6.3;5.1;5;15.7;79.7;72;2.8;4.9;24.5;12;2.8;1.2;0.9;0.7;-19;13740;52060;3.8
76101;820;2159;25730;70.2;;;;;;;;;;81.7;75.2;2.6;3.9;27.5;6.3;2.5;1.7;0.5;0.3;-18;16360;39950;2.4
76102;841;2099;23960;60.4;;;;;;;;;;77.8;72;2.3;3.5;29.5;7;2.9;1.8;0.7;0.4;-17.2;15350;38810;2.5
76103;863;2363;27010;67.1;;;;;;;;;;83.8;75.8;1.8;6.2;23.9;8.2;2.6;1.8;0.5;0.3;-18.5;16220;42930;2.6
76104;1010;2388;23050;55;;;;;;;;;;73;66.3;2.2;4.5;32;8.3;3.4;1.7;1.1;0.6;-16.7;14240;37460;2.6
76105;892;2427;25770;67.8;;;;;;;;;;83.5;74.6;2.2;6.7;24.6;6.6;2.8;2;0.5;0.3;-17.5;15960;40790;2.6
76106;1157;2477;20350;42.3;12.1;;;;;;;;19.5;65.6;58.3;2.8;4.5;34.7;8.6;5.7;2.1;2.2;1.4;-14.6;12460;32400;2.6
76107;966;2438;22930;53.3;;;;;;;;;;75.3;65.9;3.3;6.1;27.8;7.9;4.8;2.6;1.3;0.9;-15.8;14040;35930;2.6
76108;990;2746;24240;62.3;;;;;;;;;;86.2;80.5;2.2;3.5;20.5;6.4;3.4;2.3;0.7;0.4;-16.5;16250;35960;2.2
76109;1033;2713;24470;60.5;;;;;;;;;;82.6;76;2.4;4.2;23.3;7.7;3.5;2.1;0.9;0.5;-17.1;14530;41690;2.9
76110;1296;2825;20890;51.3;10.6;;;;;;;;;64;55.5;2.9;5.6;39.2;8.9;4.2;1.7;1.7;0.8;-16.3;12700;34270;2.7
76111;1095;2900;27390;72.8;;;;;;;;;;82;74.7;2.1;5.2;27.3;8.2;2.4;1.5;0.6;0.3;-19.9;16940;43040;2.5
76112;1160;3000;25820;69.6;;;;;;;;;;78.7;68.7;2;8;30.5;8;2.6;1.6;0.7;0.3;-19.8;17140;45050;2.6
76113;1262;2830;21760;49.4;9.2;;;;;;;;;68.6;62.8;2.6;3.2;32.7;8.8;5.1;2.1;1.9;1.1;-15.2;13130;34730;2.6
76114;1296;2844;19630;41;15.2;;;;;;;;29.9;65.1;57.8;2.7;4.6;33.6;9;6.9;2.4;2.8;1.7;-14.6;11510;34780;3
76115;1195;2953;20980;44.5;9.4;;;;;;;;;74.1;63.5;2.6;8;29.1;7.2;4.7;2.2;1.6;0.9;-15.1;13260;32470;2.4
