COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;179;Guéret;CHAR;3
CODGEO;Code géographique;Code géographique;180;Challans;CHAR;3
CODGEO;Code géographique;Code géographique;181;Pontarlier;CHAR;3
CODGEO;Code géographique;Code géographique;182;Vendôme;CHAR;3
CODGEO;Code géographique;Code géographique;183;Le Creusot;CHAR;3
CODGEO;Code géographique;Code géographique;184;Longwy;CHAR;3
CODGEO;Code géographique;Code géographique;185;Bagnols-sur-Cèze;CHAR;3
CODGEO;Code géographique;Code géographique;186;Granville;CHAR;3
CODGEO;Code géographique;Code géographique;187;Dinan;CHAR;3
CODGEO;Code géographique;Code géographique;188;Redon;CHAR;3
CODGEO;Code géographique;Code géographique;189;Bressuire;CHAR;3
CODGEO;Code géographique;Code géographique;190;Pierrelatte;CHAR;3
CODGEO;Code géographique;Code géographique;191;Sablé-sur-Sarthe;CHAR;3
CODGEO;Code géographique;Code géographique;192;Saint-Hilaire-de-Riez;CHAR;3
CODGEO;Code géographique;Code géographique;193;Verdun;CHAR;3
CODGEO;Code géographique;Code géographique;194;Issoire;CHAR;3
CODGEO;Code géographique;Code géographique;195;Saint-Gaudens;CHAR;3
CODGEO;Code géographique;Code géographique;196;Gien;CHAR;3
CODGEO;Code géographique;Code géographique;197;Forbach (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;198;Vire Normandie;CHAR;3
CODGEO;Code géographique;Code géographique;199;Pamiers;CHAR;3
CODGEO;Code géographique;Code géographique;200;Sète;CHAR;3
CODGEO;Code géographique;Code géographique;201;Cavaillon;CHAR;3
CODGEO;Code géographique;Code géographique;202;Montaigu-Vendée;CHAR;3
CODGEO;Code géographique;Code géographique;203;Romorantin-Lanthenay;CHAR;3
CODGEO;Code géographique;Code géographique;204;Fontenay-le-Comte;CHAR;3
CODGEO;Code géographique;Code géographique;205;Coutances;CHAR;3
CODGEO;Code géographique;Code géographique;206;Tulle;CHAR;3
CODGEO;Code géographique;Code géographique;207;Pontivy;CHAR;3
CODGEO;Code géographique;Code géographique;208;Vierzon;CHAR;3
CODGEO;Code géographique;Code géographique;209;Château-Thierry;CHAR;3
