CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
64;304838;653366;21850;50.8;12.3;20.7;13.4;14.1;13;8.5;9.6;6.5;23.7;67.6;58.7;2.9;6;33.7;11.4;5;1.7;2.1;1.2;-17.7;12260;38350;3.1
65;104055;216947;20420;44.4;15.4;26.6;19.6;17.3;15.2;10.6;12.5;8.5;31;63.3;53.8;3.2;6.3;37.7;8.4;6;1.9;2.7;1.4;-15.4;11460;33500;2.9
66;216387;457577;19350;42.1;21;33.6;26.4;24.8;22.7;14.2;13.6;10.9;37.2;60.1;49.4;3.7;7;38;10.6;7.7;2.2;3.5;2;-16.4;10190;33910;3.3
67;469749;1084558;22620;55;13.7;22.7;17.4;16.4;12.2;8.8;7.4;5;27.4;77.1;69.4;2.7;5;26.9;9.6;4.9;1.9;1.8;1.2;-18.5;11710;39700;3.4
68;319272;737642;23130;56.2;12.9;20.1;16.8;15.6;11.9;8.4;6.9;5;26.9;78.3;71.2;3;4.1;27.7;8.3;4.5;1.8;1.6;1.1;-18.8;11980;43390;3.6
69;766388;1758244;22990;57.3;14.2;21.1;15.6;16.7;13.9;9.4;8;5;26;79.2;71.2;3;5;24.1;11.5;5.2;2.2;1.8;1.2;-20;11600;43120;3.7
70;102783;229297;20680;45.1;13.2;19.9;15.6;15;13;9.4;10.1;7.4;28.6;68.2;60.4;2.8;5;33.1;7.9;5.6;2.3;2.1;1.2;-14.8;12090;33200;2.7
71;244919;529033;20850;47.2;13.1;19.8;16.4;15.3;13.1;9;9.8;6.8;27.1;66.5;57.6;2.7;6.2;35.4;8.9;5.3;2.1;2;1.2;-16.1;12080;34520;2.9
72;242050;547213;21040;47.7;13.1;21.8;15.8;15.4;13.1;8.1;7.2;5.4;30.6;69.5;62.2;2.6;4.7;32.5;8.2;5.7;2.5;1.9;1.3;-15.9;12010;33770;2.8
73;188824;420004;23160;56.9;10;15.6;11.5;11.5;10;6.8;6.9;5;20.2;73.4;63.9;2.9;6.6;28.7;11.9;4;1.8;1.3;0.9;-18;13050;39100;3
74;340376;784097;26600;57.1;8.9;12;9.5;9.6;8.5;7.5;7.1;5;17.6;83.9;76.3;3;4.6;20.8;10.6;2.5;1.2;0.8;0.5;-17.8;13580;55790;4.1
75;1025721;2039805;28270;69;15.2;16.2;11.8;16.1;18.4;15.7;10.7;5.5;20.4;88.3;76.4;2.8;9.1;19.2;19.2;2.8;0.8;1.2;0.8;-29.5;10820;68990;6.4
76;531206;1196861;21140;49.7;14.9;24.7;17.8;17.1;14.2;9.6;8.2;5;29.3;72.3;64.4;2.9;5;30.1;7.7;6.6;2.4;2.6;1.6;-16.7;11530;36140;3.1
77;540575;1383175;23470;61.4;11.8;16.9;14;13.3;11;8.1;6.9;5;25.2;83.2;76.5;2.9;3.8;22.8;7.7;5;2.4;1.6;1;-18.7;12350;39350;3.2
78;571667;1445638;26810;69.4;9.7;15;11.7;11;9.2;6.9;5.3;5;20.4;86.6;80.3;2.5;3.8;23.3;10.3;3.4;1.7;1;0.7;-23.6;13150;51590;3.9
79;161979;364423;20840;45.1;12.3;19.8;13.8;13.2;11.8;8.6;11.6;6.7;28.2;70.3;62.1;2.4;5.8;31.4;8.8;5.4;2.2;2;1.2;-15.9;12310;34230;2.8
80;234560;535549;20320;46.2;16.4;28.3;19.6;18.6;15.9;10.5;9.5;7.2;33.1;70.6;61.4;2.9;6.3;29.9;9.1;6.8;2.4;2.9;1.5;-16.4;11210;34670;3.1
81;170227;377792;20400;42.8;15.6;25.6;18.4;17.7;15.6;11.1;12.2;8.7;32.2;64.8;55.6;3;6.2;34.6;10.3;6;2.2;2.4;1.4;-15.7;11390;34370;3
82;108987;253263;20140;42.6;17;24.3;19.1;18.8;17.1;12.6;14.3;9.9;32.7;68.4;59.2;3.2;6;30.9;9.4;6.7;2.5;2.7;1.5;-15.4;11050;33750;3.1
83;483087;1042086;21590;51.4;15.6;23.2;19;18.4;16.2;12.1;9.8;7.7;28;63.9;54;3.2;6.7;36.8;13;5.1;1.7;2.2;1.2;-18.8;11190;38340;3.4
84;243565;558215;19880;44.9;20;26.7;23.6;23.6;19.6;16.3;12.3;9.1;34.5;68;57.8;3.8;6.4;30.8;11.3;6.8;2.5;2.6;1.7;-16.9;10320;35530;3.4
85;299634;681034;21320;47.4;9.2;12.4;9.7;10.5;10.1;6.3;8.7;5.5;21.9;67;58.8;2.7;5.5;34.5;9.9;4.5;2.2;1.4;0.9;-15.9;13300;33750;2.5
86;185757;405604;20900;46.6;14.3;27.8;16.5;15.1;13.7;9.2;10.9;6.7;31.6;69.4;61.6;2.6;5.2;32.1;9.2;5.7;2.2;2.1;1.4;-16.4;11600;34760;3
87;167132;348441;20860;47.3;15.5;28.7;19.6;17.4;14.7;10;11;7.3;33.8;66.2;58.6;2.3;5.3;36.1;8.5;5.9;1.9;2.6;1.4;-16.7;11280;34970;3.1
88;163751;354130;20240;43.2;15.4;24.9;19.3;18.7;15.7;10.2;8.9;7.7;32.5;66.3;58.3;3;5;34.1;9;6;2.2;2.4;1.4;-15.4;11460;33240;2.9
89;147479;323429;20800;48.5;14.5;21;18;17.7;15.2;9.7;7.9;7.4;31;66.2;57.3;2.6;6.3;35;9.2;5.8;2.3;2.3;1.2;-16.2;11620;34280;3
90;59666;133490;21860;52.3;14.5;22.9;17.7;17.2;13.9;9.4;8;5.1;30;76.1;69.1;3.2;3.8;28.3;7.3;5.6;2.1;2.1;1.4;-17.3;11590;38150;3.3
91;503347;1278220;23920;64.4;13.1;18.4;16.2;15.5;12;8.4;5.5;5;26.7;84.4;78.6;2.7;3.1;23.7;7.7;4.7;2.3;1.4;1;-20.5;11880;42180;3.6
92;683302;1570316;28040;70.1;11.9;14.7;11.1;13;12.4;11.2;8.1;5;19;92;84.1;2.7;5.2;18.7;13;2.9;1.2;1;0.7;-26.6;12220;60580;5
93;592535;1593010;17740;47.2;28.4;30.3;29.4;32.8;29.5;23.2;16.1;12.7;38.6;82.3;75.1;4.2;3;19.1;5.6;9.9;3.8;3.7;2.4;-16.9;8910;33960;3.8
94;557237;1350616;22880;62;16.6;21.2;17.9;19.2;16.9;12.9;8.8;5.4;26.4;86.3;78.7;3;4.6;21.3;9.1;5.1;2.1;1.8;1.2;-21.8;10790;44900;4.2
95;459773;1241471;21970;59.3;17.2;21.2;19.3;20.1;16.7;12.5;8.9;7.1;30.6;84.4;77.6;3.2;3.6;22;6.9;5.9;2.8;1.8;1.3;-19.2;10750;39370;3.7
972;146373;322328;17880;33.8;29.8;49.7;36.2;31.3;29.9;23.4;31.2;21.7;38.4;72.2;63.1;3.7;5.4;24.4;6.2;11.8;2.7;7;2.1;-14.6;8800;37400;4.3
974;316016;855515;15440;28.3;38.9;54.3;42.3;39.9;36.3;31;39.9;29;48.5;75;62.1;5.3;7.6;15.5;6.6;16.6;4.5;8.8;3.3;-13.7;8240;36130;4.4
