COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;5303;Carhaix-Plouguer;CHAR;4
CODGEO;Code géographique;Code géographique;5304;Dinan;CHAR;4
CODGEO;Code géographique;Code géographique;5305;Fougères;CHAR;4
CODGEO;Code géographique;Code géographique;5306;Guingamp;CHAR;4
CODGEO;Code géographique;Code géographique;5307;Lamballe-Armor;CHAR;4
CODGEO;Code géographique;Code géographique;5308;Lannion;CHAR;4
CODGEO;Code géographique;Code géographique;5309;Lorient;CHAR;4
CODGEO;Code géographique;Code géographique;5310;Morlaix;CHAR;4
CODGEO;Code géographique;Code géographique;5311;Ploërmel;CHAR;4
CODGEO;Code géographique;Code géographique;5312;Pontivy-Loudéac;CHAR;4
CODGEO;Code géographique;Code géographique;5313;Quimper;CHAR;4
CODGEO;Code géographique;Code géographique;5314;Quimperlé;CHAR;4
CODGEO;Code géographique;Code géographique;5315;Rennes;CHAR;4
CODGEO;Code géographique;Code géographique;5316;Saint-Brieuc;CHAR;4
CODGEO;Code géographique;Code géographique;5317;Saint-Malo;CHAR;4
CODGEO;Code géographique;Code géographique;5318;Vannes;CHAR;4
CODGEO;Code géographique;Code géographique;5319;Vitré;CHAR;4
CODGEO;Code géographique;Code géographique;7501;Agen;CHAR;4
CODGEO;Code géographique;Code géographique;7502;Angoulême;CHAR;4
CODGEO;Code géographique;Code géographique;7503;Bayonne;CHAR;4
CODGEO;Code géographique;Code géographique;7504;Bergerac;CHAR;4
CODGEO;Code géographique;Code géographique;7505;Bordeaux;CHAR;4
CODGEO;Code géographique;Code géographique;7506;Bressuire;CHAR;4
CODGEO;Code géographique;Code géographique;7507;Brive-la-Gaillarde;CHAR;4
CODGEO;Code géographique;Code géographique;7508;Châtellerault;CHAR;4
CODGEO;Code géographique;Code géographique;7509;Cognac;CHAR;4
CODGEO;Code géographique;Code géographique;7510;Dax;CHAR;4
CODGEO;Code géographique;Code géographique;7511;Guéret;CHAR;4
CODGEO;Code géographique;Code géographique;7512;La Rochelle;CHAR;4
CODGEO;Code géographique;Code géographique;7513;La Teste-de-Buch;CHAR;4
CODGEO;Code géographique;Code géographique;7514;Langon;CHAR;4
CODGEO;Code géographique;Code géographique;7515;Lesparre-Médoc;CHAR;4
CODGEO;Code géographique;Code géographique;7516;Libourne;CHAR;4
CODGEO;Code géographique;Code géographique;7517;Limoges;CHAR;4
CODGEO;Code géographique;Code géographique;7518;Marmande;CHAR;4
CODGEO;Code géographique;Code géographique;7519;Mont-de-Marsan;CHAR;4
CODGEO;Code géographique;Code géographique;7520;Niort;CHAR;4
CODGEO;Code géographique;Code géographique;7521;Oloron-Sainte-Marie;CHAR;4
CODGEO;Code géographique;Code géographique;7522;Pau;CHAR;4
CODGEO;Code géographique;Code géographique;7523;Périgueux;CHAR;4
CODGEO;Code géographique;Code géographique;7524;Poitiers;CHAR;4
CODGEO;Code géographique;Code géographique;7525;Rochefort;CHAR;4
CODGEO;Code géographique;Code géographique;7526;Royan;CHAR;4
CODGEO;Code géographique;Code géographique;7527;Saint-Junien;CHAR;4
CODGEO;Code géographique;Code géographique;7528;Saintes;CHAR;4
CODGEO;Code géographique;Code géographique;7529;Sarlat-La-Canéda;CHAR;4
CODGEO;Code géographique;Code géographique;7530;Thouars;CHAR;4
