CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
5220;42597;96458;20110;41.1;13.5;21.2;16.2;15.3;13.5;9.4;9.4;7.2;27.4;65.6;56.3;3;6.3;34.1;9;6.1;2.5;2.2;1.4;-14.8;11980;32980;2.8
5221;22324;54135;20240;38.5;11.5;15.6;12.2;12.8;11.6;8.1;10.2;6.7;24.9;71.6;62.7;2.8;6.1;28.1;7.9;6;3.1;1.7;1.2;-13.6;12540;30900;2.5
5301;43345;94271;22090;51;10;14.6;11;12;11.6;6.8;7.6;6.3;20.7;61.8;52;3.2;6.6;39.3;11.7;4.2;1.8;1.5;0.9;-17;13030;37560;2.9
5302;173446;382220;22130;51;10.2;20.8;11.5;10.6;9.8;6.4;7.5;5;26;71.8;63.1;2.9;5.8;31.6;8.2;5.4;2.2;2;1.2;-17;12980;36370;2.8
5303;36419;74685;19520;38;16.5;21.5;17.9;19.9;18;12.4;14.3;12.4;33;58.7;46.5;2.9;9.3;39.7;9.4;6;2.1;2.7;1.2;-13.8;11150;31290;2.8
5304;43915;97577;21340;46.1;10.6;15.6;11;12.3;10.9;7.1;10.5;6.6;23.3;65.3;55.6;3;6.7;36;9.1;5.1;2.2;1.8;1.1;-15.5;12830;34470;2.7
5305;34896;80453;20580;41.9;11;15.4;12.3;11.3;10.7;8;10.7;5.8;24.1;70.6;62.4;2.5;5.7;29.5;8.6;5.8;2.6;2;1.2;-14.5;12760;31920;2.5
5306;25917;56394;20020;40.3;14.6;20;16;17;15.2;10.2;12.2;9.3;31.2;64.3;54.7;2.9;6.7;35.8;7.6;6.7;2.6;2.6;1.5;-14.4;11780;31630;2.7
5307;31648;71458;21680;48;9.6;11.9;9.9;10.7;9.4;6.9;11.5;6.4;21.2;67.4;56.2;2.5;8.7;34;10;4.4;2.1;1.4;0.9;-15.8;13160;34810;2.6
5308;55983;116542;21670;49.3;11.5;20.3;14.8;14;12.6;7.3;8.9;7;26.4;57.3;47.8;2.6;6.9;44.5;10.3;4.6;1.7;1.8;1.1;-16.7;12520;36870;2.9
5309;103770;222118;21550;49.1;12.4;23.8;15.2;14.1;12.6;7.8;7.8;5.3;28.1;65.8;57.1;3.2;5.5;36.4;9;5.4;1.9;2.2;1.3;-16.6;12250;35730;2.9
5310;57417;125099;20990;45.3;11.3;17.3;12.5;12.7;12;7.8;10.1;7.2;26;65.5;54.2;2.9;8.4;35.5;9.5;5.4;2.2;2.1;1.1;-15.9;12640;34050;2.7
5311;32304;73914;20790;43.8;11.2;13.4;12.2;12.6;11.6;7.8;11.3;7.8;23.5;67.8;58.4;2.7;6.7;32.7;8.9;5.2;2.5;1.7;1;-14.6;12690;32290;2.5
5312;51103;116207;20700;43.9;11.6;17.8;13.3;12.5;11.4;8;11.4;7.1;27.3;68.4;58.4;2.6;7.4;31.7;8.8;5.6;2.5;2;1.1;-14.5;12540;32330;2.6
5313;135872;284496;21740;49.4;10.4;16.4;12;12.2;11.6;6.9;7.9;6.2;24.1;63.6;54.6;2.9;6.1;38.4;9.9;4.7;1.8;1.9;1;-16.6;12900;36000;2.8
5314;26885;59083;21340;47;10.4;13;11;11.9;12.6;7.2;8.8;7.3;24.2;64.2;55.4;2.9;5.9;37.4;9;4.8;2.1;1.8;0.9;-15.4;12890;33760;2.6
5315;285424;660484;22840;54.1;10.7;22.3;12.3;10.8;8.9;6.3;6.6;5;25.2;80.2;72.4;2.7;5.1;23.7;9.1;5.3;2.2;1.8;1.3;-18.3;12800;38540;3
5316;83236;183887;21470;48.9;11.5;20.5;13.7;13.7;11.2;6.8;7.9;5.2;28.2;68.1;59.3;2.8;6;34.1;8.9;5.6;2.2;2.1;1.3;-16.7;12550;34980;2.8
5317;70766;150091;21810;49.9;10.6;16.6;12.1;12.6;11.4;7.3;8;5.9;21.7;62.5;53.5;2.8;6.2;37.5;13.4;4.5;1.8;1.7;1;-17.9;12840;38310;3
5318;101347;223085;22530;53.4;10;17.7;12.1;12.1;10.8;5.8;6.4;5;22.6;64.7;55.7;2.7;6.3;37.6;11.1;4.4;1.8;1.6;1;-17.8;13040;38610;3
5319;37875;94417;21540;46.5;8;10.1;7.9;8.6;8;5.6;8.8;5;19.3;78.3;70.1;2.6;5.6;22.7;9.2;5.1;2.8;1.4;0.9;-15.3;13800;33610;2.4
7501;61182;133574;20820;46.3;15.3;22.4;17.5;17.3;15;11.4;12.7;7.9;29.6;68.8;59.7;3.1;6;32.1;9.5;6;2.1;2.4;1.5;-16.4;11480;35280;3.1
7502;108213;232335;20570;44.9;15.2;25.2;18.4;16.9;15.1;10.4;11.8;8;31.7;66;57.4;2.9;5.7;34.1;9.2;6.4;2;2.8;1.6;-15.7;11420;34170;3
7503;162847;341809;22100;52.2;11.6;17.3;12.5;13.5;12.9;8.3;8.5;6.5;20.7;66.7;56.8;3.2;6.7;34.2;13.3;4.5;1.5;1.9;1.1;-18.7;12470;39220;3.1
7504;53024;112843;19810;41.8;17.9;24.6;21.8;22.3;19.4;12.5;13.4;11.3;33.2;58;47.8;3.1;7.1;40.4;10.6;6.3;2.1;2.7;1.5;-15.3;10900;33920;3.1
7505;493352;1094061;23010;56.2;12.4;22.5;13.7;13.1;11.6;8.4;8.2;5;23.2;78.9;69.6;3.2;6.1;25.9;9.5;5.1;1.8;2;1.3;-19.4;12160;40780;3.4
7506;49726;114753;19840;38.1;13.2;17.9;14.5;15.4;12.3;9.1;13.3;7.7;30.6;67.5;57.9;2.6;7;31.5;9.5;5.8;2.6;2;1.2;-14.3;12100;31050;2.6
7507;61742;131493;21000;47.7;13;20.7;16;14.1;12.6;9.3;11.4;7.3;26.6;65.9;57.2;2.7;6;35.6;9.6;5.2;1.9;2;1.3;-16.3;12120;35100;2.9
7508;39070;85715;20490;45.8;14.6;25.9;18.3;16.4;14.7;9.3;10.3;6.8;34.2;65.9;58.5;2.7;4.7;35;8.6;6.1;2.3;2.4;1.4;-15.6;11610;33120;2.9
7509;59861;129422;20840;45.4;14;21.1;17.3;16;13.6;9.3;12.8;8.5;28.3;66.9;54.4;2.8;9.7;33.2;10.7;5.6;1.9;2.4;1.3;-16.4;11820;36300;3.1
7510;73535;161361;21160;47.1;12.3;20.3;14.3;14.2;12.6;8.4;9.9;7;24.2;64.6;54.9;3.4;6.3;36.3;9.9;5;1.8;2;1.2;-15.8;12310;34810;2.8
7511;56422;112912;19370;39.5;18.6;24.8;21.7;21.6;20.3;13.4;17.5;13.5;34.2;57.4;47.4;2.7;7.3;41.6;9;6.2;1.8;3;1.4;-14.2;10600;31830;3
7512;114407;247508;22350;53;11.1;20.5;12.9;13;12.1;7;6.5;5.1;22.7;66.4;57.1;3.1;6.2;35.3;11.4;4.9;1.7;2;1.2;-18;12640;38920;3.1
7513;76685;167830;22570;54.1;10;14.7;12;11.9;11.1;6.8;6.9;5.6;19.1;65.5;56;3.4;6.1;37.9;10.9;3.9;1.6;1.5;0.8;-18.2;13020;38330;2.9
7514;52868;121908;20470;43.3;14.2;20.3;15;15.5;14.4;10.3;14.4;8.7;26.4;69.5;59.9;3.4;6.2;30.1;9.2;6.2;2.3;2.6;1.3;-15;11750;33490;2.9
7515;31308;70735;20830;46;13.7;21.1;15.5;15.1;14.6;9.7;11.4;8.6;26.3;66.5;56.8;3.6;6.1;34.7;8.9;5.4;2.1;2.2;1.1;-15.5;11870;33330;2.8
7516;66392;152819;20470;44;15.1;23.1;17.3;16.4;15.4;10.7;12.4;9;28.1;70.3;59.7;3.4;7.2;30;9.1;6.3;2.3;2.6;1.4;-15.7;11470;34290;3
7517;140307;293854;21060;48.7;15.3;29.1;19.5;17.5;14.2;9.3;10.2;6.3;33.9;67.6;60.1;2.3;5.2;35;8.5;6;1.9;2.6;1.5;-17.1;11320;35550;3.1
7518;44527;96531;19420;39.4;17.5;22.9;19.6;19.9;18.2;13.9;15.3;11.5;31.2;61.6;51.2;3.2;7.2;36.4;10.7;6.2;2.1;2.6;1.5;-14.9;11030;32660;3
7519;59695;132665;21030;47;12.2;19.8;14.2;13.8;11.6;8.6;11.2;6.3;26;66.3;57.7;2.6;6;34.8;9.2;5.4;2;2.2;1.2;-15.7;12320;33900;2.8
7520;95846;213182;21680;49.4;11.6;20.5;13.1;11.8;11.5;8.2;10.7;6;26.5;72.5;64.9;2.3;5.3;31;8.2;5.1;2;2;1.1;-16.8;12490;36200;2.9
7521;30601;67292;20690;45.1;13.3;18.4;15.3;15.9;13.7;9.2;12.7;9.1;26.4;63.3;53.8;2.6;6.9;37.1;9.7;4.9;1.9;2;1;-15;12020;33550;2.8
7522;139037;305394;22070;51.2;12.3;23.7;13.5;13.8;12.4;8.2;9.5;5.8;26.4;69.8;61.9;2.8;5.1;32.4;9.9;5.3;1.8;2.2;1.3;-17.4;12230;38610;3.2
7523;98799;206186;20370;43.2;15.6;24.8;18.2;17.2;16.8;11.4;13;9.5;30.3;61.2;52.8;2.8;5.6;39.1;9.4;5.6;1.8;2.4;1.4;-15.3;11330;33650;3
7524;134035;293121;21230;47.8;14;28.5;15.8;14.4;13.1;8.8;10.5;6.2;30.9;71.1;63.4;2.6;5.1;31;9.1;5.6;2.2;2;1.4;-16.8;11650;35540;3.1
7525;34453;74671;20700;45.3;13.7;22.7;16.6;15.4;14;9.7;9.4;7.3;27.1;63.6;54.9;3.3;5.4;36.9;8.5;6.3;2.2;2.6;1.5;-15.3;11860;33700;2.8
7526;64709;129237;21350;49.4;12.5;17.8;16.5;17.2;15.4;8.2;8.7;8.2;23.7;50.3;39.6;3;7.7;49.3;13.6;4.2;1.3;1.9;1;-17.4;12210;37100;3
7527;39655;81028;19550;38.3;17.8;26.3;20;19.1;19.1;14.4;15.7;13.1;33.8;57.8;49;2.4;6.4;41.7;8.8;5.6;1.8;2.6;1.2;-13.9;10800;31310;2.9
7528;58735;126417;20480;43.3;14.1;21;16.1;15.9;15.9;9.7;11.8;8.6;28.2;62.7;52.1;3.1;7.5;37.2;9.4;6;2;2.6;1.4;-15.3;11810;34260;2.9
7529;28956;59417;19930;41.9;17;22.6;20.2;20.5;18.4;12.3;15.6;12.8;28.4;55.3;44.6;3.4;7.3;42.4;12.5;5;1.6;2.2;1.2;-15.2;10940;33980;3.1
7530;29484;64408;19570;39;14.5;21.3;16.9;16.1;14.3;10.1;13;9;32.1;64.1;54.5;2.8;6.8;35;9.5;5.9;2.3;2.3;1.3;-14.5;11760;30950;2.6
7531;38070;77742;20930;45.9;13.5;21;16.7;15.3;14;9;13;9;27.6;60.1;50.9;2.4;6.8;41.3;9.1;4.6;1.6;1.9;1.1;-15.1;11950;34030;2.8
7532;41134;89115;19130;38.3;18.9;27.5;22.7;22.5;20.1;13.8;15.3;12.5;34.6;58.1;47.7;3.5;6.9;39.6;10.5;6.6;2.2;2.8;1.6;-14.8;10750;32300;3
7601;40945;85688;18930;40.2;22.1;33.8;29.5;27.5;24.6;14.6;13.6;12.9;36.5;55.9;44.9;4.4;6.6;40.6;12;7.6;2.2;3.5;1.9;-16.1;10020;33290;3.3
7602;106575;235828;20600;43.7;15.2;25.5;17.9;17;15.5;10.9;12;8.5;31;64.8;55.4;3;6.4;34.6;10.5;5.9;2.1;2.4;1.4;-15.8;11450;34790;3
7603;85990;182077;18500;36.7;23.3;36.7;29.8;29.1;25.1;16.1;13.5;12.8;40.8;56.7;47.1;3.7;5.9;39.4;10.2;8.4;2.3;4;2.1;-14.7;9790;31870;3.3
7604;71280;151372;20530;43;15.6;23.6;17.5;16.9;15.7;11.7;15.9;10.1;28.9;62.3;51.7;2.6;8;36.4;11.5;5.4;1.8;2.4;1.2;-15.6;11300;34910;3.1
7605;32160;73420;20930;47.4;16.7;26.2;18.3;19.3;16.3;13.9;11.8;8.1;34.8;69.7;60.9;3.2;5.6;31.7;8.5;6.3;2.3;2.5;1.5;-16.2;11000;35720;3.2
7606;105128;228380;18760;38.7;23.5;35.7;29.6;27.8;24.5;16.3;14.9;12.1;41.3;59.9;48.8;3.7;7.4;36.6;10.4;8.6;2.6;3.8;2.2;-15.5;9720;32690;3.4
7607;39929;82686;20690;45;15.4;26.2;18.7;18.5;16.9;10.5;12.3;10;29.8;57.6;47.9;2.9;6.8;41.9;11.2;5.3;1.7;2.4;1.2;-16;11320;35190;3.1
7608;86807;187611;19240;39.6;20.7;30.8;25.6;23.7;21.6;15;15.1;11.5;37.6;61.7;52;3.4;6.3;36;9.3;8.1;2.4;3.7;2;-15.1;10240;32710;3.2
