IRIS;DEC_PIMP18;DEC_TP6018;DEC_Q118;DEC_MED18;DEC_Q318;DEC_EQ18;DEC_D118;DEC_D218;DEC_D318;DEC_D418;DEC_D618;DEC_D718;DEC_D818;DEC_D918;DEC_RD18;DEC_S80S2018;DEC_GI18;DEC_PACT18;DEC_PTSA18;DEC_PCHO18;DEC_PBEN18;DEC_PPEN18;DEC_PAUT18;DEC_NOTE18
381850202;44.5;39.4;8300;17270;29290;1.21;3330;6660;9970;13330;20590;25750;32370;43240;13;16.2;0.438;76.5;68.8;4.5;3.2;20.2;3.3;0
381850203;69.3;11.6;20950;31210;44280;0.75;11860;17910;23250;27120;35530;41190;46850;61040;5.1;6.8;0.339;70.5;62.5;2.2;5.8;22.4;7.1;0
381850204;67.9;13.5;21560;34140;50120;0.84;9770;18470;24080;29220;39340;45970;55580;78290;8;10.6;0.424;64.9;56.7;1.2;7;22.3;12.8;0
381850205;58.1;20.4;15390;28000;41370;0.93;7380;12860;17850;23100;31920;37810;45710;55810;7.6;10.7;0.403;72.1;64.2;2.6;5.3;19.5;8.4;0
381850206;65.6;15.1;19070;29200;42780;0.81;9010;16930;21270;26520;34610;39580;46970;63980;7.1;8.1;0.369;72.2;62.1;2.3;7.8;19.9;7.9;0
381850207;41.7;40.9;8420;16730;33080;1.47;3630;6740;9450;12880;22150;27900;36090;48260;13.3;18.4;0.488;69.2;60.7;3.1;5.4;24.6;6.2;0
381850208;67.3;;19110;27490;37200;0.66;11950;17280;21030;24470;31090;35460;40540;51160;4.3;5.5;0.316;60.9;54.4;1.5;5;34.5;4.6;0
381850209;65;19.1;15950;26780;37580;0.81;7760;13460;18570;22470;31220;35260;40790;52490;6.8;8.8;0.367;68.3;61.2;2.1;5;25.1;6.6;0
381850210;65.7;16.7;18300;27080;38890;0.76;8040;15570;19820;23520;30930;35440;42980;54450;6.8;9.4;0.396;67.5;60.1;2.5;4.9;22.8;9.7;0
381850211;64.1;14.7;18170;27510;38570;0.74;8800;15670;19770;23740;31400;35640;41540;51400;5.8;6.8;0.329;77.8;69.2;2.9;5.7;16.4;5.8;0
381850212;66.4;14.3;18590;28610;45370;0.94;10510;16060;20610;24520;33780;40670;49660;65310;6.2;8.6;0.392;69;60.1;2.2;6.7;22;9;0
381850213;61.7;14.9;17850;27590;39300;0.78;10170;15400;19890;23230;31830;36450;42630;55490;5.5;7.3;0.361;66.1;55.7;2.6;7.8;28.2;5.7;0
381850214;60.9;17.5;16490;24400;34780;0.75;7930;14190;18270;21280;28030;32620;38300;45490;5.7;7.1;0.339;76.2;68.4;3.2;4.6;19.8;4;0
381850215;62.7;18.7;15670;26280;38260;0.86;7620;13560;18380;22200;30750;35450;42480;53290;7;8.6;0.366;77.7;69.6;2.7;5.4;16.7;5.6;0
381850216;39.1;40.4;8920;15270;24110;1;4800;7720;10380;12780;18940;21930;26880;36340;7.6;11.2;0.405;70.4;62.5;4.2;3.7;26.7;2.9;0
381850301;58.2;20.8;14630;22520;31350;0.74;7490;12680;16450;19400;25570;29450;34130;40890;5.5;6.3;0.313;78.5;73;2.9;2.6;18.9;2.6;0
381850302;45.3;27.9;11800;18550;25480;0.74;4970;9910;13590;16080;21150;23730;27580;33070;6.7;8;0.331;72.1;66.4;3.6;2.1;25.2;2.7;0
381850303;47.7;23.4;13230;20290;27850;0.72;7150;11920;15070;17890;23330;25940;30000;35570;5;5.8;0.303;72.2;65.6;3.5;3.1;25.3;2.5;0
381850304;55.1;19.3;14720;22610;30810;0.71;7200;13260;16480;19760;25500;28890;32790;39890;5.5;6.9;0.33;75.3;68.3;3.3;3.7;20.9;3.8;0
381850305;55.6;19.6;15180;22200;30270;0.68;7730;13370;17240;19630;24530;28210;32420;40580;5.3;6.5;0.311;73.9;66.3;3.4;4.2;22.2;3.9;0
381850306;57.7;17.4;16170;24080;34870;0.78;9300;14230;17540;20840;27960;32760;37560;46750;5;6.5;0.336;69.9;61.8;2.9;5.2;23.5;6.6;0
381850307;54.7;22;14510;21190;29500;0.71;8210;12180;15660;18670;24200;27680;32000;38260;4.7;6.1;0.311;63;58.4;3;1.6;34.3;2.7;0
381850308;52.1;25.8;12620;20850;31090;0.89;6130;10640;14550;17710;23930;28140;33640;40660;6.6;8.8;0.369;63.2;56.7;3.1;3.4;30.9;5.9;0
381850309;;;3540;8920;14880;1.27;120;2730;4290;6680;11130;13590;16290;19710;158.1;25.3;0.432;68.7;;;;30.2;1.1;0
381850310;58.2;22.3;14360;23250;31960;0.76;6910;11980;15990;19740;26480;29690;34630;42980;6.2;7.4;0.339;67.4;61.9;2.8;2.7;28.1;4.5;0
381850311;46.9;30.5;10820;18710;26690;0.85;4590;9150;12770;15690;21790;24790;29100;35880;7.8;9.3;0.361;71.9;65.8;3.6;2.5;24.4;3.7;0
381850401;52.2;21.4;14560;22430;31760;0.77;6000;12450;16320;19520;25490;29780;33930;41290;6.9;7.6;0.333;70.7;64.6;2.7;3.4;24.8;4.5;0
381850402;59.7;17.4;15790;24010;32420;0.69;7680;14420;17850;21390;26860;30720;35080;42690;5.6;6.3;0.31;69.7;63.6;2.5;3.6;26;4.3;0
381850403;58.6;19.6;15380;24300;32730;0.71;6120;13190;17550;21110;27120;30460;36420;44290;7.2;8.1;0.333;71;64.4;2.6;4;24.5;4.5;0
381850404;63.2;17.5;16770;26010;37800;0.81;8620;14350;18890;22190;30430;35260;40920;53910;6.3;7.4;0.348;63;57.6;1.9;3.5;30.9;6.1;0
381850405;63.4;;17930;24930;33840;0.64;12380;16730;19340;22380;27800;31560;36910;47320;3.8;4.9;0.305;66.7;61.5;3;2.2;27.4;5.9;0
381850406;63.4;13.6;17980;25630;34910;0.66;10390;16030;19420;22460;29080;32980;38130;47050;4.5;5.7;0.31;74.4;68.6;2.3;3.5;22;3.6;0
381850407;46;34.1;10480;17800;26580;0.9;3410;7900;11910;15200;20950;24490;28690;36660;10.8;12.2;0.388;73.1;66.2;3.3;3.6;23.6;3.3;0
381850408;62;14.4;17040;25390;36180;0.75;9700;15080;19070;22110;29420;33460;39180;46470;4.8;6;0.316;69.2;64.8;1.9;2.5;26.2;4.6;0
381850409;57.6;21.8;14700;23330;32480;0.76;5980;12500;16790;19700;26190;29690;35770;43700;7.3;8.3;0.343;68.7;62.7;2.4;3.6;26.7;4.6;0
381850410;57.9;16;16300;23770;33030;0.7;9950;14630;17920;20400;26920;30620;35620;44600;4.5;6.3;0.327;72.2;65.2;2.3;4.7;23.9;3.9;0
381850411;48.7;23.9;13280;21000;29350;0.77;5780;11340;14560;17990;23340;27140;31860;38450;6.7;8.1;0.344;71.8;65.1;3.7;3;24.7;3.5;0
381850412;42.2;35.3;9630;16400;24030;0.88;4160;8250;11600;13770;19490;22200;26060;33290;8;9.4;0.353;72.6;67.6;3.2;1.8;24.8;2.6;0
381850413;46;23.6;13400;18800;24840;0.61;6760;12080;14650;16990;21150;23700;26530;31000;4.6;5.7;0.286;72;66.7;3.1;2.2;26.6;1.4;0
381850414;56;19;15050;21380;28400;0.62;8520;13370;16810;19090;24080;26790;30140;36020;4.2;5.2;0.287;79.7;74.6;3.5;1.6;18;2.3;0
381850501;44.2;32.2;9980;17870;26680;0.93;3310;8040;12210;15030;20830;24630;29070;36300;11;12.1;0.387;74.7;68.4;3.4;2.9;21.2;4.1;0
381850502;53;22.1;14310;21350;30520;0.76;7270;12120;16010;18620;24620;28570;33000;41310;5.7;6.9;0.326;71.8;65.3;2.9;3.6;25.3;2.9;0
381850503;46.5;35.5;8540;18080;26940;1.02;1640;6430;10790;14630;21470;25160;29130;35680;21.8;17.6;0.39;74.3;67.9;3.4;3;23.6;2.1;0
381850504;29.1;58.8;4690;10410;18870;1.36;370;3420;5950;8170;13340;17010;21310;27420;75.1;28.7;0.451;74.9;68.1;5.2;1.6;24.2;0.9;0
381850505;38.5;43.4;7200;15050;24100;1.12;1500;5310;8530;11580;18420;21140;26700;34270;22.9;22.3;0.429;62.4;56.5;3.7;2.2;34.3;3.3;0
381850506;30.1;50.9;6160;12820;20870;1.15;950;5480;7230;9890;15580;19030;22660;28170;29.7;17.1;0.415;79.7;71.5;5;3.2;18.6;1.7;0
381850507;28.7;57.6;5400;10990;19070;1.24;1750;4580;6360;8330;13620;17080;21150;27510;15.7;16.3;0.429;66.8;59.2;6.5;1.1;31.5;1.7;0
