CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
408;6643;14023;23160;59.3;11.5;;12.7;12.8;13.1;8.3;;8.9;14.7;75.7;61.5;3.1;11.1;24;18.9;2.1;1.1;0.6;0.4;-20.7;12350;45680;3.7
409;5487;12625;19940;44.9;17.1;27;22.3;18.8;15.7;11;;5;30.9;72.3;65.7;3.2;3.4;28.9;6.3;7.5;2.9;2.9;1.7;-15;11220;34770;3.1
410;6051;12020;19960;42.4;17.2;;21.2;21.9;20.3;11.8;13.8;12.8;30;51.7;41.8;2.7;7.2;47.3;11.8;4.9;1.5;2.2;1.2;-15.7;10940;34180;3.1
411;5461;12781;20610;42.5;8.8;;9;8.8;8.2;;;5;27;70.1;61.9;2.5;5.7;30.6;9;4.8;2.5;1.4;0.9;-14.5;13360;30620;2.3
412;6062;11934;19990;43.9;19.7;;27.4;28.3;21.8;14.1;9.7;11.8;31.5;50.8;39.2;3.5;8.1;44.3;15.6;5.7;1.6;2.5;1.6;-16.4;10300;36270;3.5
413;5250;12176;20720;49.5;14.3;;16.8;17.5;13.4;11;;5.9;27.5;72.4;64.6;2.7;5.1;28.7;9.2;6.2;2.7;2.1;1.4;-16.5;11880;36120;3
414;4330;8579;20080;44.2;19.4;;20.7;18.6;19.4;17.2;18.1;11.9;29.3;67.8;56.7;2.8;8.3;32.7;9.8;6;1.5;3;1.5;-16.3;10180;34820;3.4
415;5693;11780;20010;43.5;17;;23.2;21.7;18;10.7;;8.7;35.5;58.8;49;2.5;7.3;39.5;10.2;6.5;2.1;3;1.4;-15;10950;33500;3.1
416;5728;11852;18960;38.3;16.1;;21.5;16.1;17.9;11.1;15.1;8.9;30.5;60.4;53;3.1;4.3;38.4;8.8;6.4;2.2;2.6;1.6;-14;11480;30010;2.6
417;5148;11617;19400;42.6;19.4;26.7;23.7;22.4;18.2;13.7;;9.7;34.5;68;61.1;3.3;3.6;30.3;9.2;7.3;2.4;3.1;1.8;-14.8;10590;33210;3.1
418;5404;11496;20290;44;14.7;;19.7;15.7;17.8;9.6;;7.9;28.9;61.6;52.5;2.4;6.7;37.9;10.5;5.3;2;2;1.3;-15.3;11480;33600;2.9
419;5810;11520;18820;37.6;20.1;;25.8;25.9;21.2;14;16;14.2;35.3;55.5;44.1;2.7;8.7;42.1;9.3;7;1.8;3.6;1.6;-13.9;10280;31680;3.1
420;5217;12410;21150;47.5;11.4;;13.7;12.9;9.9;9.5;;5.9;24.6;71.4;62.3;3.3;5.8;29;9.6;5.4;2.6;1.7;1.1;-15.4;12560;34380;2.7
421;5484;11559;20870;43.3;14.2;;16.6;17.4;13.5;10.5;12.8;8.3;29.2;60.7;49.4;2.5;8.8;37.7;11.9;5.4;1.7;2.4;1.3;-15.7;11860;35590;3
422;5053;11518;24790;57.5;10.8;;8.8;11.7;11.9;9.4;;5;24.2;83.8;76.9;3.9;3;22.9;7.7;3.5;1.4;1.3;0.8;-17.9;12710;44040;3.5
423;5471;11820;21920;53.8;12.7;;16.1;17.3;12.7;;;5;24.7;71.7;61;3.6;7.1;27.6;13.7;4.3;1.8;1.4;1.1;-17.3;12210;36000;2.9
424;5431;11834;20290;41.4;14.8;;16.7;16.6;16.4;10.2;;6.4;30.2;62.2;55.4;2.8;4;34.9;10.7;6.5;2.1;2.8;1.6;-14.3;11660;32980;2.8
425;5430;11325;19520;38;18.1;;21.1;20.7;19.8;14.7;15.6;11.6;35.7;55.6;46.4;2.7;6.5;43;10.1;5.8;1.8;2.6;1.4;-14.5;10580;32450;3.1
426;5230;11785;22300;53;13.1;;14.9;14.6;14.1;10.3;;5.8;27.6;78;72.1;3.6;2.3;27.2;7.3;4.5;1.7;1.7;1.1;-17;12030;39150;3.3
427;5822;11981;20780;47.8;13.9;;15.2;18.7;13.5;9.7;;8;24.4;59.6;47.8;3.8;8;38.5;13.5;4.9;1.8;1.9;1.2;-16.5;11880;35490;3
428;5190;11716;20720;48.5;15.3;;19.9;17.3;14.9;13.2;;6.7;30.7;66.4;59.8;3;3.6;35.3;8.7;5.3;2.3;1.8;1.2;-15.7;11360;34660;3.1
429;5084;11495;19650;43.1;17.7;;25.3;18.4;19.3;11.3;;9.8;38.6;62.5;54.5;3.1;4.9;36.5;8.5;6.8;2.6;2.8;1.4;-14.3;11110;31350;2.8
430;5123;10710;19280;43.5;21.4;;20.7;21.1;23.8;21;18.7;15.1;28.1;65.9;49.2;4;12.7;32.2;12.9;5.9;1.8;2.7;1.4;-16.9;9810;35770;3.6
431;4600;11131;21070;46.2;10;;11.2;11.7;10;;;6.9;18.6;73.5;64.8;2.5;6.2;29.2;7.1;5.4;2.9;1.6;0.9;-15.2;13050;32820;2.5
