COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;02109;Le Nouvion-en-Thiérache;CHAR;5
CODGEO;Code géographique;Code géographique;02110;Villeneuve-sur-Aisne;CHAR;5
CODGEO;Code géographique;Code géographique;02111;Montescourt-Lizerolles;CHAR;5
CODGEO;Code géographique;Code géographique;02112;Fresnoy-le-Grand;CHAR;5
CODGEO;Code géographique;Code géographique;02113;Fère-en-Tardenois;CHAR;5
CODGEO;Code géographique;Code géographique;02114;Origny-Sainte-Benoite;CHAR;5
CODGEO;Code géographique;Code géographique;02115;Étreux;CHAR;5
CODGEO;Code géographique;Code géographique;02116;Saint-Michel;CHAR;5
CODGEO;Code géographique;Code géographique;02117;Vervins;CHAR;5
CODGEO;Code géographique;Code géographique;02118;Pinon;CHAR;5
CODGEO;Code géographique;Code géographique;02119;Guise;CHAR;5
CODGEO;Code géographique;Code géographique;02201;Bohain-en-Vermandois;CHAR;5
CODGEO;Code géographique;Code géographique;02202;Charly-sur-Marne;CHAR;5
CODGEO;Code géographique;Code géographique;02203;Hirson;CHAR;5
CODGEO;Code géographique;Code géographique;02301;Villers-Cotterêts;CHAR;5
CODGEO;Code géographique;Code géographique;02302;Chauny;CHAR;5
CODGEO;Code géographique;Code géographique;02401;Château-Thierry;CHAR;5
CODGEO;Code géographique;Code géographique;02402;Tergnier;CHAR;5
CODGEO;Code géographique;Code géographique;02403;Laon;CHAR;5
CODGEO;Code géographique;Code géographique;02404;Soissons;CHAR;5
CODGEO;Code géographique;Code géographique;02501;Saint-Quentin;CHAR;5
CODGEO;Code géographique;Code géographique;03101;Néris-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;03102;Bourbon-l'Archambault;CHAR;5
CODGEO;Code géographique;Code géographique;03103;Dompierre-sur-Besbre;CHAR;5
CODGEO;Code géographique;Code géographique;03104;Varennes-sur-Allier;CHAR;5
CODGEO;Code géographique;Code géographique;03105;Lapalisse;CHAR;5
CODGEO;Code géographique;Code géographique;03106;Saint-Germain-des-Fossés;CHAR;5
CODGEO;Code géographique;Code géographique;03201;Saint-Pourçain-sur-Sioule;CHAR;5
CODGEO;Code géographique;Code géographique;03202;Gannat;CHAR;5
